feature_name,feature_description,ollama_reasoning,related_regulation,total_reward
Curfew login blocker with ASL and GH for Utah minors,"To comply with the Utah Social Media Regulation Act, we are implementing a curfew-based login restriction for users under 18. The system uses ASL to detect minor accounts and routes enforcement through GH to apply only within Utah boundaries. The feature activates during restricted night hours and logs activity using EchoTrace for auditability. This allows parental control to be enacted without user-facing alerts, operating in ShadowMode during initial rollout.","The feature is required to comply with the Utah Social Media Regulation Act, which prohibits minors from accessing social media accounts during restricted night hours.",Utah Social Media Regulation Act,5.0
PF default toggle with NR enforcement for California teens,"As part of compliance with California’s SB976, the app will disable PF by default for users under 18 located in California. This default setting is considered NR to override, unless explicit parental opt-in is provided. Geo-detection is handled via GH, and rollout is monitored with FR logs. The design ensures minimal disruption while meeting the strict personalization requirements imposed by the law.","The feature is required to comply with California's SB976, which disables PF by default for users under 18 located in CA, and the design ensures minimal disruption while meeting strict personalization requirements imposed by the law.",California's SB976,5.0
Child abuse content scanner using T5 and CDS triggers,"In line with the US federal law requiring providers to report child sexual abuse content to NCMEC, this feature scans uploads and flags suspected materials tagged as T5. Once flagged, the CDS auto-generates reports and routes them via secure channel APIs. The logic runs in real-time, supports human validation, and logs detection metadata for internal audits. Regional thresholds are governed by LCP parameters in the backend.","The feature is required by the US federal law to report child sexual abuse content to NCMEC, as mentioned in the entities extracted from the feature.",US federal law,5.0
Content visibility lock with NSP for EU DSA,"To meet the transparency expectations of the EU Digital Services Act, we are introducing a visibility lock for flagged user-generated content labeled under NSP. When such content is detected, a soft Softblock is applied and GH ensures enforcement is restricted to the EU region only. EchoTrace supports traceability, and Redline status can be triggered for legal review. This feature enhances accountability and complies with Article 16’s removal mechanisms.","The feature is required to comply with the EU Digital Services Act, specifically Article 16's removal mechanisms.",Article 16,5.0
Jellybean-based parental notifications for Florida regulation,"To support Florida's Online Protections for Minors law, this feature extends the Jellybean parental control framework. Notifications are dispatched to verified parent accounts when a minor attempts to access restricted features. Using IMT, the system checks behavioral anomalies against BB models. If violations are detected, restrictions are applied in ShadowMode with full audit logging through CDS. Glow flags ensure compliance visibility during rollout phases.","The feature extends the Jellybean parental control framework to support Florida's Online Protections for Minors law, indicating a legal requirement in specific regions.",Online Protections for Minors law,5.0
Unified retention control via DRT & CDS,"Introduce a data retention feature using DRT thresholds, ensuring automatic log deletion across all regions. CDS will continuously audit retention violations, triggering EchoTrace as necessary. Spanner logic ensures all platform modules comply uniformly.","The feature description mentions 'entities extracted from feature' that include 'keywords' such as DRT, CDS, and Spanner, which are related to compliance detection systems. This suggests that the feature is required by law/regulation in specific regions.",Digital Services Regulation,2.6
NSP auto-flagging,"This feature will automatically detect and tag content that violates NSP policy. Once flagged, Softblock is applied and a Redline alert is generated if downstream sharing is attempted.","The feature references the 'Code of conduct on countering illegal hate speech online of 2016' and requires mechanisms for suspending trusted flagger status when investigating allegedly illegal content, indicating compliance with specific regional regulations.",Code of conduct on countering illegal hate speech online of 2016,2.2
T5 tagging for sensitive reports,"When users report content containing high-risk information, it is tagged as T5 for internal routing. CDS then enforces escalation. The system is universal and does not rely on regional toggles or GH routes.",The feature is required to comply with the regulation that mechanisms should be clearly identifiable and allow for notification of allegedly illegal content through a single notice.,"Such mechanisms should be clearly identifiable, located close to the information in question",3.0
Underage protection via Snowcap trigger,"Snowcap is activated for all underage users platform-wide, applying ASL to segment accounts. Actions taken under this logic are routed to CDS and monitored using BB to identify deviations in usage.","The feature description mentions applying ASL to segment accounts, which implies age verification measures in compliance with the regulation 'Providers of online platforms used by minors should take appropriate and proportionate measures to protect minors...'. The mention of related regulations is empty.","(i) taking awareness-raising measures and adapting their online interface in order to give recipients of the service more information; (j) taking targeted measures to protect the rights of the child, including age verification and parental control tools...",3.4000000000000004
Universal PF deactivation on guest mode,"By default, PF will be turned off for all uses browsing in guest mode.","The feature description mentions that PF will be turned off for all users browsing in guest mode, which does not explicitly reference any legal regulation or requirement. The extracted entities do not mention location or age, and the keywords 'PF' and 'guest mode' do not clearly imply a regulatory requirement.",None,3.8
Story resharing with content expiry,"Enable users to reshare stories from others, with auto-expiry after 48 hours. This feature logs resharing attempts with EchoTrace and stores activity under BB.","The feature description does not explicitly reference any legal regulation, but mentions logging resharing attempts with EchoTrace which is a compliance-tracking system.",None,5.0
Leaderboard system for weekly creators,Introduce a creator leaderboard updated weekly using internal analytics. Points and rankings are stored in FR metadata and tracked using IMT.,Ollama output not valid JSON,None,-1.0
Mood-based PF enhancements,Adjust PF recommendations based on inferred mood signals from emoji usage. This logic is soft-tuned using BB and undergoes quiet testing in ShadowMode.,"This feature is a business decision to adjust PF recommendations based on inferred mood signals from emoji usage, and does not explicitly reference any legal regulations.",None,3.8
New user rewards via NR profile suggestions,"At onboarding, users will receive NR-curated profiles to follow for faster network building. A/B testing will use Spanner.","The feature is described as a business decision to use A/B testing with Spanner for faster network building, and does not reference any specific regulatory requirement.",None,5.0
Creator fund payout tracking in CDS,Monetization events will be tracked through CDS to detect anomalies in creator payouts. DRT rules apply for log trimming.,"The feature is required to track monetization events and detect anomalies in creator payouts, which may be necessary to determine whether the information constitutes illegal content as alleged. The regulation text specifically mentions that providers of intermediary services must put in place notice and action mechanisms for certain types of items of information notified.",Regulation,2.2
Trial run of video replies in EU,"Roll out video reply functionality to users in EEA only. GH will manage exposure control, and BB is used to baseline feedback.","The feature is required by law/regulation in specific regions because the entities extracted from the feature include 'location': 'EU', which indicates a specific region where the regulation applies. The regulation text also mentions Directive 2010/13/EU, which imposes measures to enable users to declare audiovisual commercial communications in user-generated videos.",Directive 2010/13/EU,-0.19999999999999996
Canada-first PF variant test,Launch a PF variant in CA as part of early experimentation. Spanner will isolate affected cohorts and Glow flags will monitor feature health.,"The feature description mentions launching a PF variant in CA as part of early experimentation, which implies compliance with California Age-Appropriate Design Code Act (Senate Bill No. 976 CHAPTER 321). This act requires businesses to comply with certain requirements for online services accessed by children.",California Age-Appropriate Design Code Act,2.6
Chat UI overhaul,"A new chat layout will be tested in the following regions: CA, US, BR, ID. GH will ensure location targeting and ShadowMode will collect usage metrics without user impact.","The feature description mentions adapting location targeting, which is mentioned in the relevant regulation text as a measure to comply with regulations.","Such measures may include, where applicable: (a) adapting the design, features or functioning of their services, including their online interfaces; (b) adapting their terms and conditions and their enforcement;...",2.6
